phi1   phi2  phi  COD
60.0  85.0   0.0     95 
65.0  85.0   0.0    101 
70.0  85.0   0.0    102 
75.0  85.0   0.0    103 
80.0  85.0   0.0    102 
85.0  85.0   0.0    107 
90.0  85.0   0.0    103 
 0.0  90.0   0.0     98 
 5.0  90.0   0.0    103 
10.0  90.0   0.0    107 
15.0  90.0   0.0    102 
20.0  90.0   0.0    103 
25.0  90.0   0.0    102 
30.0  90.0   0.0    101 
35.0  90.0   0.0     95 
40.0  90.0   0.0     96 
45.0  90.0   0.0     98 
50.0  90.0   0.0     96 
55.0  90.0   0.0     95 
60.0  90.0   0.0    101 
65.0  90.0   0.0    102 
70.0  90.0   0.0    103 
75.0  90.0   0.0    102 
80.0  90.0   0.0    107 
85.0  90.0   0.0    103 
90.0  90.0   0.0     98 
 0.0   0.0   5.0     98 
 5.0   0.0   5.0    101 
10.0   0.0   5.0    102 
15.0   0.0   5.0    102 
20.0   0.0   5.0    101 
25.0   0.0   5.0    101 
30.0   0.0   5.0     99 
35.0   0.0   5.0     96 
40.0   0.0   5.0     95 
45.0   0.0   5.0     94 
50.0   0.0   5.0     95 
55.0   0.0   5.0     94 
60.0   0.0   5.0     96 
65.0   0.0   5.0     98 
70.0   0.0   5.0     99 
75.0   0.0   5.0    104 
80.0   0.0   5.0    104 
85.0   0.0   5.0    108 
90.0   0.0   5.0    110 
 0.0   5.0   5.0    103 
 5.0   5.0   5.0    101 
10.0   5.0   5.0    102 
15.0   5.0   5.0    102 
20.0   5.0   5.0    100 
25.0   5.0   5.0     98 
30.0   5.0   5.0     95 
35.0   5.0   5.0     94 
40.0   5.0   5.0     95 
45.0   5.0   5.0     96 
50.0   5.0   5.0     93 
55.0   5.0   5.0     97 
60.0   5.0   5.0     99 
65.0   5.0   5.0     98 
70.0   5.0   5.0    105 
75.0   5.0   5.0    103 
80.0   5.0   5.0    107 
85.0   5.0   5.0    111 
90.0   5.0   5.0    106 
 0.0  10.0   5.0    103 
 5.0  10.0   5.0    101 
10.0  10.0   5.0    102 
15.0  10.0   5.0    101 
20.0  10.0   5.0     98 
25.0  10.0   5.0     95 
30.0  10.0   5.0     94 
35.0  10.0   5.0     95 
40.0  10.0   5.0     97 
45.0  10.0   5.0     94 
50.0  10.0   5.0     96 
55.0  10.0   5.0     99 
60.0  10.0   5.0     99 
65.0  10.0   5.0    104 
70.0  10.0   5.0    104 
75.0  10.0   5.0    106 
80.0  10.0   5.0    111 
85.0  10.0   5.0    108 
90.0  10.0   5.0    104 
 0.0  15.0   5.0    103 
 5.0  15.0   5.0    101 
10.0  15.0   5.0    102 
15.0  15.0   5.0     99 
20.0  15.0   5.0     95 
25.0  15.0   5.0     93 
30.0  15.0   5.0     94 
35.0  15.0   5.0     96 
40.0  15.0   5.0     95 
45.0  15.0   5.0     96 
50.0  15.0   5.0     98 
55.0  15.0   5.0     99 
60.0  15.0   5.0    104 
65.0  15.0   5.0    103 
70.0  15.0   5.0    107 
75.0  15.0   5.0    110 
80.0  15.0   5.0    107 
85.0  15.0   5.0    105 
90.0  15.0   5.0    104 
 0.0  20.0   5.0    103 
 5.0  20.0   5.0    101 
10.0  20.0   5.0     99 
15.0  20.0   5.0     96 
20.0  20.0   5.0     93 
25.0  20.0   5.0     94 
30.0  20.0   5.0     95 
35.0  20.0   5.0     94 
40.0  20.0   5.0     98 
45.0  20.0   5.0     99 
50.0  20.0   5.0     98 
55.0  20.0   5.0    105 
60.0  20.0   5.0    104 
65.0  20.0   5.0    106 
70.0  20.0   5.0    110 
75.0  20.0   5.0    106 
80.0  20.0   5.0    104 
85.0  20.0   5.0    106 
90.0  20.0   5.0     99 
 0.0  25.0   5.0    103 
 5.0  25.0   5.0     99 
10.0  25.0   5.0     96 
15.0  25.0   5.0     94 
20.0  25.0   5.0     93 
25.0  25.0   5.0     95 
30.0  25.0   5.0     93 
35.0  25.0   5.0     97 
40.0  25.0   5.0    100 
45.0  25.0   5.0     99 
50.0  25.0   5.0    104 
55.0  25.0   5.0    104 
60.0  25.0   5.0    107 
65.0  25.0   5.0    109 
70.0  25.0   5.0    107 
75.0  25.0   5.0    103 
80.0  25.0   5.0    105 
85.0  25.0   5.0    100 
90.0  25.0   5.0     99 
 0.0  30.0   5.0     98 
 5.0  30.0   5.0     93 
10.0  30.0   5.0     93 
15.0  30.0   5.0     94 
20.0  30.0   5.0     90 
25.0  30.0   5.0     92 
30.0  30.0   5.0     92 
35.0  30.0   5.0     95 
40.0  30.0   5.0     96 
45.0  30.0   5.0     99 
50.0  30.0   5.0     98 
55.0  30.0   5.0    103 
60.0  30.0   5.0    104 
65.0  30.0   5.0    101 
70.0  30.0   5.0    100 
75.0  30.0   5.0    100 
80.0  30.0   5.0     97 
85.0  30.0   5.0     99 
90.0  30.0   5.0     93 
 0.0  35.0   5.0     92 
 5.0  35.0   5.0     89 
10.0  35.0   5.0     95 
15.0  35.0   5.0     89 
20.0  35.0   5.0     90 
25.0  35.0   5.0     90 
30.0  35.0   5.0     93 
35.0  35.0   5.0     97 
40.0  35.0   5.0    100 
45.0  35.0   5.0    102 
50.0  35.0   5.0     99 
55.0  35.0   5.0    105 
60.0  35.0   5.0    104 
65.0  35.0   5.0    102 
70.0  35.0   5.0    101 
75.0  35.0   5.0    101 
80.0  35.0   5.0    101 
85.0  35.0   5.0     98 
90.0  35.0   5.0     97 
 0.0  40.0   5.0     91 
 5.0  40.0   5.0     94 
10.0  40.0   5.0     90 
15.0  40.0   5.0     91 
20.0  40.0   5.0     90 
25.0  40.0   5.0     92 
30.0  40.0   5.0     96 
35.0  40.0   5.0     99 
40.0  40.0   5.0    103 
45.0  40.0   5.0    100 
50.0  40.0   5.0    104 
55.0  40.0   5.0    105 
60.0  40.0   5.0    103 
65.0  40.0   5.0    101 
70.0  40.0   5.0    102 
75.0  40.0   5.0    100 
80.0  40.0   5.0     97 
85.0  40.0   5.0     98 
90.0  40.0   5.0     93 
 0.0  45.0   5.0     96 
 5.0  45.0   5.0     89 
10.0  45.0   5.0     91 
15.0  45.0   5.0     91 
20.0  45.0   5.0     92 
25.0  45.0   5.0     95 
30.0  45.0   5.0     98 
35.0  45.0   5.0    102 
40.0  45.0   5.0    101 
45.0  45.0   5.0    105 
50.0  45.0   5.0    104 
55.0  45.0   5.0    104 
60.0  45.0   5.0    101 
