phi1   phi2  phi  COD
25.0  45.0   5.0    153 
30.0  45.0   5.0    138 
35.0  45.0   5.0    134 
40.0  45.0   5.0    129 
45.0  45.0   5.0    127 
50.0  45.0   5.0    125 
55.0  45.0   5.0    129 
60.0  45.0   5.0    132 
65.0  45.0   5.0    134 
70.0  45.0   5.0    142 
75.0  45.0   5.0    151 
80.0  45.0   5.0    157 
85.0  45.0   5.0    161 
90.0  45.0   5.0    163 
 0.0  50.0   5.0    196 
 5.0  50.0   5.0    188 
10.0  50.0   5.0    174 
15.0  50.0   5.0    163 
20.0  50.0   5.0    156 
25.0  50.0   5.0    140 
30.0  50.0   5.0    137 
35.0  50.0   5.0    131 
40.0  50.0   5.0    130 
45.0  50.0   5.0    125 
50.0  50.0   5.0    131 
55.0  50.0   5.0    131 
60.0  50.0   5.0    136 
65.0  50.0   5.0    143 
70.0  50.0   5.0    151 
75.0  50.0   5.0    159 
80.0  50.0   5.0    160 
85.0  50.0   5.0    164 
90.0  50.0   5.0    160 
 0.0  55.0   5.0    187 
 5.0  55.0   5.0    172 
10.0  55.0   5.0    163 
15.0  55.0   5.0    156 
20.0  55.0   5.0    142 
25.0  55.0   5.0    138 
30.0  55.0   5.0    134 
35.0  55.0   5.0    132 
40.0  55.0   5.0    129 
45.0  55.0   5.0    131 
50.0  55.0   5.0    133 
55.0  55.0   5.0    136 
60.0  55.0   5.0    144 
65.0  55.0   5.0    152 
70.0  55.0   5.0    159 
75.0  55.0   5.0    163 
80.0  55.0   5.0    163 
85.0  55.0   5.0    161 
90.0  55.0   5.0    156 
 0.0  60.0   5.0    157 
 5.0  60.0   5.0    146 
10.0  60.0   5.0    137 
15.0  60.0   5.0    132 
20.0  60.0   5.0    125 
25.0  60.0   5.0    124 
30.0  60.0   5.0    121 
35.0  60.0   5.0    120 
40.0  60.0   5.0    117 
45.0  60.0   5.0    121 
50.0  60.0   5.0    122 
55.0  60.0   5.0    129 
60.0  60.0   5.0    140 
65.0  60.0   5.0    146 
70.0  60.0   5.0    155 
75.0  60.0   5.0    162 
80.0  60.0   5.0    159 
85.0  60.0   5.0    157 
90.0  60.0   5.0    149 
 0.0  65.0   5.0    149 
 5.0  65.0   5.0    137 
10.0  65.0   5.0    134 
15.0  65.0   5.0    126 
20.0  65.0   5.0    130 
25.0  65.0   5.0    122 
30.0  65.0   5.0    126 
35.0  65.0   5.0    120 
40.0  65.0   5.0    126 
45.0  65.0   5.0    126 
50.0  65.0   5.0    139 
55.0  65.0   5.0    147 
60.0  65.0   5.0    161 
65.0  65.0   5.0    168 
70.0  65.0   5.0    175 
75.0  65.0   5.0    171 
80.0  65.0   5.0    161 
85.0  65.0   5.0    152 
90.0  65.0   5.0    145 
 0.0  70.0   5.0    136 
 5.0  70.0   5.0    133 
10.0  70.0   5.0    126 
15.0  70.0   5.0    130 
20.0  70.0   5.0    124 
25.0  70.0   5.0    127 
30.0  70.0   5.0    123 
35.0  70.0   5.0    128 
40.0  70.0   5.0    130 
45.0  70.0   5.0    139 
50.0  70.0   5.0    148 
55.0  70.0   5.0    160 
60.0  70.0   5.0    169 
65.0  70.0   5.0    176 
70.0  70.0   5.0    172 
75.0  70.0   5.0    164 
80.0  70.0   5.0    151 
85.0  70.0   5.0    146 
90.0  70.0   5.0    137 
 0.0  75.0   5.0    132 
 5.0  75.0   5.0    125 
10.0  75.0   5.0    129 
15.0  75.0   5.0    124 
20.0  75.0   5.0    130 
25.0  75.0   5.0    124 
30.0  75.0   5.0    131 
35.0  75.0   5.0    132 
40.0  75.0   5.0    143 
45.0  75.0   5.0    149 
50.0  75.0   5.0    162 
55.0  75.0   5.0    169 
60.0  75.0   5.0    177 
65.0  75.0   5.0    172 
70.0  75.0   5.0    164 
75.0  75.0   5.0    154 
80.0  75.0   5.0    145 
85.0  75.0   5.0    138 
90.0  75.0   5.0    132 
 0.0  80.0   5.0    124 
 5.0  80.0   5.0    128 
10.0  80.0   5.0    124 
15.0  80.0   5.0    130 
20.0  80.0   5.0    126 
25.0  80.0   5.0    132 
30.0  80.0   5.0    135 
35.0  80.0   5.0    145 
40.0  80.0   5.0    152 
45.0  80.0   5.0    162 
50.0  80.0   5.0    171 
55.0  80.0   5.0    177 
60.0  80.0   5.0    174 
65.0  80.0   5.0    165 
70.0  80.0   5.0    154 
75.0  80.0   5.0    148 
80.0  80.0   5.0    138 
85.0  80.0   5.0    132 
90.0  80.0   5.0    126 
 0.0  85.0   5.0    127 
 5.0  85.0   5.0    123 
10.0  85.0   5.0    129 
15.0  85.0   5.0    126 
20.0  85.0   5.0    134 
25.0  85.0   5.0    136 
30.0  85.0   5.0    148 
35.0  85.0   5.0    155 
40.0  85.0   5.0    166 
45.0  85.0   5.0    171 
